"drive","beta","speed","suppressed","gens_till_suppression","chased","gens_till_chasing","average_nondrive_GC","variance_in_nondrive_GC","average_overall_GC","variance_in_overall_GC","average_popsize_during_chase","variance_in_popsize_during_chase","duration_of_chase","drive_loss","gens_till_drive_loss","equilibrium_state","gens_till_equilibrium_state","simulation_stopped_after_1000_gens","rate_of_drive_after_1000_gens","r1_resistance_formed","gens_till_r1_resistance_formed","long_term_chase","drive_loss_with_chase","drive_loss_without_chase","outcome_of_suppression_with_tiny_chase","outcome_of_suppression_after_chasing","outcome_of_drive_loss_after_chasing","outcome_of_suppression_without_chasing","outcome_of_drive_loss_without_chasing","outcome_of_long_term_chasing","average_number_of_fertile_females_during_any_chase","average_number_of_fertile_females_during_ending_chase","average_number_of_fertile_females_during_long_term_chase","average_number_of_fertile_females_during_chase_ending_in_suppression"
"zpg2",2,0.008,0,NA,1,57.6,0.00478173355,1.23965e-06,0.001902591,2.035e-07,27941.4815885,6999834.75675,NA,0,NA,0,NA,1,0.50360515,0,NA,1,0,0,0,0,0,0,0,1,10278.1218775,NA,10278.1218775,NA
"zpg2",2,0.0118,0,NA,1,98.95,0.01161338035,9.7825e-06,0.00443492415,1.5845e-06,23071.682381,9034697.2978,NA,0,NA,0,NA,1,0.6058802,0,NA,1,0,0,0,0,0,0,0,1,7538.6674767,NA,7538.6674767,NA
"zpg2",2,0.0156,0,NA,1,103.45,0.0187204809,3.8845e-05,0.007276415,6.976e-06,19744.898163,15249135.564,NA,0,NA,0,NA,1,0.62365235,0,NA,1,0,0,0,0,0,0,0,1,6106.4029491,NA,6106.4029491,NA
"zpg2",2,0.0194,0,NA,1,91.35,0.02480379115,0.0001072192,0.01010686065,2.036e-05,17467.069983,25780833.964,NA,0,NA,0,NA,1,0.64666075,0,NA,1,0,0,0,0,0,0,0,1,5296.1454687,NA,5296.1454687,NA
"zpg2",2,0.0232,0.05,127,0.95,85.2105263157895,0.0300874669473684,0.000238920157894737,0.0132563411578947,6.29559473684211e-05,15575.1664926316,35753702.08,NA,0,NA,0,NA,0.95,0.647062263157895,0,NA,0.95,0,0,0,0,0,0.05,0,0.95,4675.50812452632,NA,4675.50812452632,NA
"zpg2",2,0.027,0.05,113,0.95,80.6842105263158,0.0442932235789474,0.00163122552631579,0.0220716226842105,0.000910938736842105,13844.7942839474,50378386.2757368,NA,0.05,113,0,NA,0.9,0.642247666666667,0,NA,0.9,0.05,0,0,0,0.05,0.05,0,0.9,4373.13793464663,5637.365079,4372.40862383333,NA
"zpg2",2,0.0308,0.15,1429.33333333333,0.95,75.4736842105263,0.037515333,0.000829653842105263,0.0189661498947368,0.000275246578947368,13598.9308857895,69084172.86,2003.5,0,NA,0,NA,0.85,0.620239647058824,0,NA,0.85,0,0,0,0.1,0,0.05,0,0.85,4078.05670193204,4658.01692498827,4035.04221605882,4658.01692498827
"zpg2",2,0.0346,0.7,576.142857142857,0.6,74.0833333333333,0.0836509393333333,0.00942690766666667,0.0443559236666667,0.00515872208333333,11279.1526890833,74386408.38825,1334.8,0.1,264.5,0,NA,0.2,0.64717,0,NA,0.2,0.1,0,0.05,0.25,0.1,0.4,0,0.2,3842.78065139913,3900.1239647278,3810.9287685,3889.93238759545
"zpg2",2,0.0384,0.7,1093.85714285714,0.75,67,0.0648346770666667,0.00431686666666667,0.0350484174666667,0.00202965746666667,10211.0471035333,91652383.659,1569.44444444444,0.25,716,0,NA,0.05,0.404471,0,NA,0.05,0.25,0,0,0.45,0.25,0.25,0,0.05,3729.0618568944,3727.78512037892,3736.044537,3813.84265916276
"zpg2",2,0.0422,0.8,646.1875,0.45,66.3333333333333,0.0883497896666667,0.00383461333333333,0.0503475241111111,0.00136075077777778,9382.795688,91033505.4654311,1281.14285714286,0.15,92.6666666666667,0,NA,0.05,0.684992,0,NA,0.05,0.05,0.1,0,0.35,0.05,0.45,0.1,0.05,3544.96618987395,3556.57980102108,3512.193734,3556.57980102108
"zpg2",2,0.046,0.95,387.789473684211,0.55,64.9090909090909,0.0770248310909091,0.00531589418181818,0.0480696610909091,0.00167159318181818,9517.10827628182,108757091.028683,642,0.05,808,0,NA,0,NA,0,NA,0,0.05,0,0.05,0.45,0.05,0.45,0,0,3897.47664389805,3897.47664389805,NA,3365.2597435855
"zpg2",3,0.008,0,NA,1,69.15,0.00409284935,1.1995e-06,0.00117229505,9.4045e-08,33144.118861,4487873.9617,NA,0,NA,0,NA,1,0.60354845,0,NA,1,0,0,0,0,0,0,0,1,10949.6812545,NA,10949.6812545,NA
"zpg2",3,0.0118,0,NA,1,95.1,0.0083417058,5.653e-06,0.00232258,4.8665e-07,29471.545887,6643803.45075,NA,0,NA,0,NA,1,0.6765741,0,NA,1,0,0,0,0,0,0,0,1,8279.3887353,NA,8279.3887353,NA
"zpg2",3,0.0156,0,NA,1,98.05,0.0122930554,1.73525e-05,0.003512566,1.60535e-06,26166.9867535,10730261.08515,NA,0,NA,0,NA,1,0.72899975,0,NA,1,0,0,0,0,0,0,0,1,6694.5977039,NA,6694.5977039,NA
"zpg2",3,0.0194,0,NA,1,93.2,0.0157149909,4.255e-05,0.0047975277,4.5135e-06,23132.6348435,15099584.93705,NA,0,NA,0,NA,1,0.7505776,0,NA,1,0,0,0,0,0,0,0,1,5561.80334485,NA,5561.80334485,NA
"zpg2",3,0.0232,0,NA,1,84.65,0.01853116005,7.70884e-05,0.00599631135,1.1031e-05,20884.9086115,22534936.475,NA,0,NA,0,NA,1,0.7600009,0,NA,1,0,0,0,0,0,0,0,1,4852.1426215,NA,4852.1426215,NA
"zpg2",3,0.027,0,NA,1,78.3,0.0211108854,0.0001836334,0.007341228,4.39901e-05,19058.6968805,30252011.339,NA,0,NA,0,NA,1,0.79237785,0,NA,1,0,0,0,0,0,0,0,1,4347.48324225,NA,4347.48324225,NA
